﻿"Site name","URL","Teams","Channel sites","IBMode","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing"
"Portfolio Operations Team","https://firstfinancialptyltd.sharepoint.com/sites/PortfolioOperationsTeam","True",,"Open","0.00",,"","Team site","12/10/2024 12:00:00 AM","11/13/2024 6:07:57 AM","Portfolio Operations Team Owners","25600","0.00","True","0","0","0","9",,"On"
"PPP","https://firstfinancialptyltd.sharepoint.com/sites/PPP","True",,"Open","0.00",,"","Team site",,"11/13/2024 6:08:16 AM","PPP Owners","25600","0.00","True","0","0","0","6",,"On"
"Practice Management","https://firstfinancialptyltd.sharepoint.com/sites/apa-practice-management","False",,"Open","14.04",,"","Team site (no Microsoft 365 group)","7/5/2026 12:00:00 AM","11/13/2024 2:18:47 AM","FIRST FINANCIAL PTY LTD","25600","0.05","True","221","66","5","13663",,"On"
"Principals MGT team","https://firstfinancialptyltd.sharepoint.com/sites/PrincipalsMGTteam","True",,"Open","0.00",,"","Team site","8/19/2025 12:00:00 AM","3/30/2020 11:33:43 PM","Ben Rossi","25600","0.00","True","0","0","0","20",,"On"
"Principals team chat","https://firstfinancialptyltd.sharepoint.com/sites/Principalsteamchat","True",,"Open","0.00",,"","Team site","1/9/2025 12:00:00 AM","3/26/2020 11:37:34 PM","Chris Crough","25600","0.00","True","0","0","0","13",,"On"
"Project & Process","https://firstfinancialptyltd.sharepoint.com/sites/ProjectProcess","False",,"Open","0.00",,"","Team site",,"7/17/2024 3:31:30 AM","Project & Process Owners","25600","0.00","True","0","0","0","6",,"On"
"Project Review Pack","https://firstfinancialptyltd.sharepoint.com/sites/ProjectReviewPack","True",,"Open","0.00",,"","Team site",,"11/13/2024 6:08:08 AM","Project Review Pack Owners","25600","0.00","True","0","0","0","12",,"On"
"Project Web App","https://firstfinancialptyltd.sharepoint.com/sites/pwa","False",,"Open","0.13","Company Administrator","","Project Web App Site",,"9/4/2025 3:28:15 AM","Company Administrator","25600","0.00","False","0","0","0","464",,"Off"
"Prospect Clients","https://firstfinancialptyltd.sharepoint.com/sites/ProspectClients","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:33:12 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Prospect Partnerships","https://firstfinancialptyltd.sharepoint.com/sites/ProspectPartnerships","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:47:17 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Review Meeting Booking List","https://firstfinancialptyltd.sharepoint.com/sites/ReviewMeetingBookingList","False",,"Open","0.00",,"","Team site",,"6/3/2017 10:38:05 AM","Sera Varea","25600","0.00","True","0","0","0","2",,"On"
